player_id,player_name,label,age,club,origin_median,current_median,step,save_pct_mean,save_pct_median,save_pct_std,save_pct_min,save_pct_max,psxg_delta_mean,psxg_delta_median,psxg_delta_std,psxg_delta_min,psxg_delta_max,catches_mean,catches_median,catches_std,catches_min,catches_max,long_pass_acc_mean,long_pass_acc_median,long_pass_acc_std,long_pass_acc_min,long_pass_acc_max,sweeper_actions_mean,sweeper_actions_median,sweeper_actions_std,sweeper_actions_min,sweeper_actions_max,errors_mean,errors_median,errors_std,errors_min,errors_max,matches_count,shot_stopping_consistency,distribution_consistency,overall_consistency,overall_performance_variance,player_name_from_matches,matches_count_from_matches,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_score
1343.0,Marius Müller,PLAYS,32.0,VfL Wolfsburg,0.710514535,0.82647051,0.1159559750000001,0.8347051425,0.851421055,0.1395281529638792,0.5669572,0.9913339,0.076160019375,0.15640974,0.6265747343274998,-1.1586566,0.80066437,0.097385969125,0.05756579,0.11084882514465592,0.0,0.33333334,0.36319073749999997,0.33333334,0.15839469622264468,0.125,0.6666667,1.5625,1.0,1.2093386622447824,0.0,5.0,14.5625,14.0,4.6327637539594,7.0,23.0,16,0.3830514436456895,0.15839469622264468,0.959490908712498,0.959490908712498,Marius Müller,16,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816,50.19125754700623
1668.0,Jean Butez,PLAYS,30.0,Como 1907,0.67107149,0.82,0.1489285099999999,0.8084798521818183,0.8354065,0.12955566661017812,0.38005713,0.9856365,0.21604494438181818,0.21881011,0.6767018164664351,-1.647902,2.321166,0.14463325661363638,0.125,0.12684609707288413,0.0,0.6666667,0.5098103960227273,0.53846157,0.23450926791818538,0.0,1.0,1.5,1.0,1.286535041805354,0.0,5.0,9.75,10.0,5.208856295584088,1.0,22.0,88,0.40312874153830663,0.23450926791818538,0.9419455167278024,0.9419455167278024,Jean Butez,88,50.77469879346565,55.81718097111096,50.82773405728266,58.35957802315499,51.093261271682856,43.592453318279176,51.11180673195123
2281.0,Hidde Jurjus,PLAYS,32.0,FC Groningen,0.433012,0.6917069149999999,0.2586949149999999,0.7770890084000001,0.82352066,0.19779329694940237,0.061085694,0.9852648,0.049780914403508764,0.0,0.5872845727937589,-1.6498876,1.260786,0.08404210042105263,0.055555556,0.10499902385382258,0.0,0.4,0.46680539175438596,0.46666667,0.18703979601447662,0.09090909,0.8888889,1.8422352666666666,2.0,1.634209005968504,0.0,7.0,10.631578947368421,11.0,4.612218163853207,2.0,23.0,57,0.39253893487158065,0.18703979601447662,0.8705366260322898,0.8705366260322898,Hidde Jurjus,57,48.53062899835782,47.090276920827684,53.46750437751949,57.90990420427275,46.07347319147256,43.20882783813978,51.662540176996345
3360.0,Kamil Grabara,PLAYS,27.0,VfL Wolfsburg,0.6607162449999999,0.82647051,0.1657542650000001,0.7908359477142858,0.80915844,0.15547320559985767,0.3965189,0.9945827,-0.02510322979518072,0.0,0.8588446426154206,-3.0,1.9812832,0.09635982967605633,0.071428575,0.10114447593643494,0.0,0.5,0.42227067342857144,0.4,0.2726388519554482,0.0,1.0,1.0481927710843373,1.0,1.2386421997378807,0.0,7.0,9.156626506024097,9.0,4.34904510884873,1.0,19.0,83,0.5071589241076391,0.2726388519554482,1.177766179661984,1.177766179661984,Kamil Grabara,83,47.95326297186434,49.86294260858529,47.83935939837255,50.42926376959961,48.9108513203225,43.21550450123318,49.972752693105384
4579.0,Hans Christian Bernat,PLAYS,25.0,Karlsruher SC,0.6607162449999999,0.710514535,0.04979829,0.8770932563157894,0.895446,0.07952036788155543,0.7054928,0.97665524,0.05080443965714286,0.063929796,0.8876605032396088,-2.5992675,2.1414342,0.06830884257142858,0.05,0.07583573853083428,0.0,0.3,0.3825525674285714,0.33333334,0.19882228564998214,0.0,0.8333333,0.9714285714285714,1.0,1.01418510567422,0.0,3.0,10.028571428571428,9.0,3.9368972127635677,3.0,19.0,35,0.4835904355605821,0.19882228564998214,0.6645798449148562,0.6645798449148562,Hans Christian Bernat,35,52.040407699833295,45.34001704045558,46.115011965232675,47.65636037167391,51.025171333703526,45.56919851478268,51.733054540940934
4611.0,Rihards Matrevics,PLAYS,26.0,FK Dukla Prag,0.17575453,0.528078685,0.352324155,0.7228063312499999,0.73998107,0.18319355243289925,0.3651212,0.995861,0.40594491,0.323205015,0.6758401286664087,-0.6714157,1.8785839,0.08163526388888889,0.045454545,0.09037694224815362,0.0,0.25,0.3049528958823529,0.2857143,0.22861731681364622,0.0,0.6666667,0.4444444444444444,0.0,0.7838233761296739,0.0,3.0,8.0,8.0,4.4325002903022375,2.0,16.0,18,0.429516840549654,0.22861731681364622,0.6585949506085912,0.6585949506085912,Rihards Matrevics,18,46.52031088956172,45.57918437950524,44.09221039704963,47.00811887839371,48.80110760297313,43.29145478898042,52.54488821954447
5937.0,Brent Gabriël,PLAYS,27.0,SV Zulte Waregem,0.34851325,0.67107149,0.32255824,0.7669957338461538,0.8274411,0.2073483513546261,0.21176781,0.9661273,0.44458370306896555,0.3503047,0.9495739659619478,-1.7259216,3.155938,0.150474549,0.14285715,0.09548650429444179,0.0,0.375,0.4250685689655172,0.42857143,0.19653455033475478,0.0,0.8,1.0344827586206897,1.0,1.0516231882424718,0.0,4.0,10.5,11.0,4.582575694955841,3.0,18.0,29,0.578461158658287,0.19653455033475478,0.9911380328402124,0.9911380328402124,Brent Gabriël,29,49.72605345178301,57.19437178251265,50.296485018336696,52.109707959126325,53.47851953621941,44.60148909775798,51.04015583842073
6446.0,Arijanet Murić,PLAYS,27.0,US Sassuolo,0.6917069149999999,0.82,0.128293085,,,,,,-1.7142857142857142,-1.0,1.8985245861972935,-6.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,12.0,10.0,5.974303950445415,1.0,22.0,14,1.8985245861972935,,5.648351648351649,5.648351648351649,Arijanet Murić,14,45.50733022350914,,,,55.10294628100131,32.285300141119876,52.563567769726276
8579.0,Marco Bizot,PLAYS,35.0,Stade Brest 29,0.6917069149999999,0.7712210150000001,0.0795141000000001,,,,,,-0.982334923255814,-1.0,0.9700905457874323,-3.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,8.926829268292684,7.0,5.164253304701655,1.0,21.0,43,0.9700905457874323,,3.4809121066537005,3.4809121066537005,Marco Bizot,43,55.260289444014695,,,,45.52157336777201,40.12203085510723,50.9692487375434
13289.0,Patrik Gunnarsson,PLAYS,25.0,KV Kortrijk,0.5777367099999999,0.67107149,0.09333478,0.815794082,0.8581598,0.14895696352725835,0.22109944,0.97028536,-0.37649665666666665,-0.2939477,1.0207460175645722,-2.3719614,1.4146845,0.12566725927659575,0.09090909,0.09556248742616642,0.0,0.4,0.4417874412765957,0.45454547,0.23336819332193404,0.0,1.0,1.9019607843137254,1.0,2.100046684821881,0.0,11.0,9.490196078431373,10.0,4.0564642190933125,1.0,18.0,51,0.5848514905459152,0.23336819332193404,0.7726725414212119,0.7726725414212119,Patrik Gunnarsson,51,47.79913382597286,55.77736796942522,52.33638033197686,61.028847129485996,45.70604557326881,43.17785902927119,53.660039333843734
