player_id,player_name,age,current_score,potential_score,potential_rank,similar_gk_1,similarity_score_1,sim1_young_age,sim1_shot_stopping,sim1_handling,sim1_distribution,sim1_sweeping,sim1_reliability,sim1_consistency,similar_gk_2,similarity_score_2,sim2_young_age,sim2_shot_stopping,sim2_handling,sim2_distribution,sim2_sweeping,sim2_reliability,sim2_consistency,similar_gk_3,similarity_score_3,sim3_young_age,sim3_shot_stopping,sim3_handling,sim3_distribution,sim3_sweeping,sim3_reliability,sim3_consistency
117996.0,Finn Kotyrba,22.0,57.63890587044298,,,Maximilian Weisbäcker,0.9841558073251647,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,42.344985075272,Jean Butez,0.9774520965483053,30.0,50.77469879346565,55.81718097111096,50.82773405728266,58.35957802315499,51.093261271682856,43.592453318279176,Brent Gabriël,0.9768420740735226,27.0,49.72605345178301,57.19437178251265,50.296485018336696,52.109707959126325,53.47851953621941,44.60148909775798
166234.0,Marko Gudžulić,23.0,54.848203814311354,,,Andrea Hoxha,0.9940911251568095,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,45.09052388771825,Hervé Koffi,0.994018197093644,29.0,52.696353931360704,54.15274124872919,47.40748326499958,49.3595509736496,52.37970963047071,43.2914747081194,Antonín Kinský,0.9933990943678687,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,44.61048816238198
53364.0,Taishi Brandon Nozawa,23.0,54.776770943347955,,,Antonín Kinský,0.9964058712822209,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,44.61048816238198,Marius Müller,0.9961413738167753,32.0,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816,Hervé Koffi,0.9953640868043908,29.0,52.696353931360704,54.15274124872919,47.40748326499958,49.3595509736496,52.37970963047071,43.2914747081194
126501.0,Paul Argney,19.0,54.607573258266484,,,Andrija Katic,0.9795119334391637,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,43.16268065050644,Luca Petzold,0.972173883972345,24.0,43.887705690305424,46.27231382359704,54.86206870171563,49.981837850534795,47.909437757899326,43.73707448075528,Nacho Miras,0.9711186727482568,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,43.72231283715715
60809.0,Andrea Hoxha,26.0,54.16202824392244,,,Luca Petzold,0.9991623936417876,24.0,43.887705690305424,46.27231382359704,54.86206870171563,49.981837850534795,47.909437757899326,43.73707448075528,Taishi Brandon Nozawa,0.9987468117783327,23.0,48.16414606588572,48.96902843973658,48.98613572643285,48.471602523229684,48.16491925958806,44.35952270254134,Kamil Grabara,0.9985515709873745,27.0,47.95326297186434,49.86294260858529,47.83935939837255,50.42926376959961,48.9108513203225,43.21550450123318
49045.0,Valdemar Birksø,24.0,54.140066922402355,,,Fabian de Keijzer,0.9961308094535273,25.0,50.10603685143083,47.51608865431524,40.740750040068384,45.85694801697373,62.03973063982812,46.390634748710504,Antonín Kinský,0.9915939047047705,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,44.61048816238198,Marius Müller,0.9913919284623458,32.0,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816
13289.0,Patrik Gunnarsson,25.0,53.660039333843734,,,Jean Butez,0.9977866628853403,30.0,50.77469879346565,55.81718097111096,50.82773405728266,58.35957802315499,51.093261271682856,43.592453318279176,Jari De Busser,0.9969216942628523,26.0,52.08468604486447,52.846583284940664,51.03032658145914,58.927199630940535,50.32700647550509,44.67479529162929,Hidde Jurjus,0.9957353217044883,32.0,48.53062899835782,47.090276920827684,53.46750437751949,57.90990420427275,46.07347319147256,43.20882783813978
28737.0,Daan Reiziger,24.0,53.561130634571875,,,Fabian de Keijzer,0.9836222817128322,25.0,50.10603685143083,47.51608865431524,40.740750040068384,45.85694801697373,62.03973063982812,46.390634748710504,Justin Heekeren,0.9820457730203613,25.0,49.05727410790486,57.9558222326541,53.42344422939864,52.72992412709227,59.65002782817045,43.13010612687076,Marius Müller,0.9814485701840185,32.0,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816
62320.0,Gonzalo Crettaz,26.0,52.84856165620312,,,Filip Stanković,0.9980459693191218,24.0,50.92804282893711,46.188046326031525,46.09742533610196,53.52408755729257,60.89470403800201,44.783897049085944,Marius Müller,0.9974758534349665,32.0,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816,Matous Trmal,0.9971674530558908,27.0,47.260051870133246,49.682929433036996,42.75705793864761,50.899266064812615,55.028738995062554,43.85371094262805
56408.0,Tom Hendriks,23.0,52.55367465382215,,,Matous Trmal,0.9961674456271128,27.0,47.260051870133246,49.682929433036996,42.75705793864761,50.899266064812615,55.028738995062554,43.85371094262805,Marius Müller,0.9957465598982508,32.0,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816,Filip Stanković,0.9955951725080715,24.0,50.92804282893711,46.188046326031525,46.09742533610196,53.52408755729257,60.89470403800201,44.783897049085944
