player_id,player_name,label,age,club,origin_median,current_median,step,save_pct_mean,save_pct_median,save_pct_std,save_pct_min,save_pct_max,psxg_delta_mean,psxg_delta_median,psxg_delta_std,psxg_delta_min,psxg_delta_max,catches_mean,catches_median,catches_std,catches_min,catches_max,long_pass_acc_mean,long_pass_acc_median,long_pass_acc_std,long_pass_acc_min,long_pass_acc_max,sweeper_actions_mean,sweeper_actions_median,sweeper_actions_std,sweeper_actions_min,sweeper_actions_max,errors_mean,errors_median,errors_std,errors_min,errors_max,matches_count,shot_stopping_consistency,distribution_consistency,overall_consistency,overall_performance_variance,player_name_from_matches,matches_count_from_matches,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score
82.0,Anthony Lopes,STAYED,35.0,,0.7712210150000001,,0.0,0.8427876851282051,0.86488795,0.11025098522128957,0.5946824,0.99856436,0.06384040738805971,0.011680763,0.8099732925426807,-2.104697,2.2345014,0.09047099435820896,0.08695652,0.08035417064893563,0.0,0.33333334,0.43162146046153843,0.42857143,0.2146720020536843,0.0,1.0,0.6893393208955224,0.0,1.0512603723352338,0.0,5.0,9.328358208955224,9.0,5.525116369819304,2.0,26.0,67,0.4601121388819851,0.2146720020536843,1.1084421145031103,1.1084421145031103,Anthony Lopes,67,50.035638281920626,49.592409289625294,50.44283108910972,47.87191444253931,51.396425680925844,44.08036247865242
205.0,Péter Gulácsi,STAYED,35.0,,0.82647051,,0.0,0.8319475456666667,0.86852798,0.1720090073987959,0.10302757,0.9992304,0.3669182836666667,0.38081893499999997,0.962976514093957,-1.6697338,2.8638456,0.06896646885185186,0.06458333499999999,0.06757211568679714,0.0,0.25,0.3711694255102041,0.33333334,0.33132958203162827,0.0,1.0,1.2951286462962963,1.0,1.0906836503176867,0.0,4.0,6.0,6.0,3.05916501124698,1.0,15.0,54,0.5674927607463764,0.33132958203162827,0.42188131980342575,0.42188131980342575,Péter Gulácsi,54,52.064407612675524,47.77340924233425,49.071980313810364,50.53193223548992,39.117717036680965,43.52116337135701
210.0,Vasilios Barkas,STAYED,31.0,,0.6917069149999999,,0.0,0.7995431769863014,0.8343037,0.154865260401554,0.3246765,0.99708235,0.08037505003189654,0.09222436,0.8893539635660146,-2.3672142,2.8058343,0.11617825654782608,0.11111111,0.0997449996814409,0.0,0.5,0.39625874940869565,0.4,0.23732991453349217,0.0,1.0,0.7586206896551724,0.0,1.0518777384333668,0.0,4.0,9.219298245614034,8.5,4.907568242200541,1.0,30.0,116,0.5221096119837842,0.23732991453349217,0.9066352366694491,0.9066352366694491,Vasilios Barkas,116,49.5580817962405,52.14746935055165,50.67739232612164,46.760004583363774,44.03461854729365,44.38587781779314
226.0,Tomas Koubek,DROPPED,33.0,FC Slovan Liberec,0.82647051,0.345279435,0.481191075,0.7786327,0.7786327,0.23552652079016495,0.6120903,0.9451751,0.37384860000000003,0.15378737,0.8339153203709612,-0.32796717,1.2957256,0.041666666666666664,0.0,0.07216878364870323,0.0,0.125,0.52777778,0.33333334,0.41107357028296676,0.25,1.0,0.6666666666666666,1.0,0.5773502691896258,0.0,1.0,10.0,9.0,2.6457513110645907,8.0,13.0,3,0.5347209205805631,0.41107357028296676,0.6532422242074865,0.6532422242074865,Tomas Koubek,3,50.51800350838079,41.987394999794965,55.237957948937876,42.149347280861086,50.02727673571934,41.1490465138436
240.0,David de Gea,STAYED,35.0,,0.82,,0.0,0.8634942656666666,0.8997493999999999,0.11399828906752565,0.5419714,0.99879503,0.04129548637704918,0.021496952,0.7273472976682035,-1.5252779,2.1823316,0.051684190836065576,0.0,0.06498356446705648,0.0,0.25,0.45495340898305087,0.44444445,0.27785291135935847,0.0,1.0,0.6065573770491803,0.0,0.8617557373291298,0.0,5.0,9.508474576271187,9.0,4.170391866793616,3.0,21.0,61,0.42067279336786456,0.27785291135935847,0.7716020134964696,0.7716020134964696,David de Gea,61,50.48358851040497,44.97362033775871,53.057776419710024,46.898319955907475,50.098651920119046,44.545771201821125
253.0,Jonas Lössl,STAYED,37.0,,0.6607162449999999,,0.0,0.8405745130555555,0.8751691,0.14686906336551833,0.32132697,0.99678177,0.14068734337419356,0.0,0.7696885630731206,-1.5997313,1.8997102,0.07694655563934426,0.05882353,0.09129895714451904,0.0,0.4,0.5105861911290323,0.5,0.21991979422215818,0.0,1.0,1.3387096774193548,1.0,1.2537621860819836,0.0,5.0,9.967213114754099,10.0,4.1831695045533515,2.0,19.0,62,0.45827881321931946,0.21991979422215818,0.7576209827716262,0.7576209827716262,Jonas Lössl,62,51.08648393666003,46.61885441769482,53.60073203362557,51.568378280711386,54.315142106628464,44.45514031522249
377.0,Marwin Hitz,STAYED,38.0,,0.6643794000000001,,0.0,0.8581310316216216,0.8972338,0.1080086140155269,0.5856435,0.9957665,0.2834263711506849,0.38767052,0.874602898424836,-2.617369,3.5747313,0.06445840565753425,0.03448276,0.09228754728575331,0.0,0.5,0.6587104240845071,0.71428573,0.32595970757847414,0.0,1.0,0.6027397260273972,0.0,0.740490191010831,0.0,3.0,5.76,5.0,3.8863586792502542,1.0,17.0,75,0.4913057562201814,0.32595970757847414,2.4990104852526387,2.4990104852526387,Marwin Hitz,75,52.99708437265798,46.83806455727623,61.326838174915295,47.03022871368624,39.00358132673935,44.17374407015059
398.0,Yann Sommer,STAYED,37.0,,0.82,,0.0,0.8243948693023255,0.8502679,0.14200241734492858,0.4905784,0.9973292,0.09088739621428571,0.115787506,0.7591560159561487,-2.436732,2.1758747,0.06172111420879121,0.0,0.07973758014948942,0.0,0.33333334,0.5500796782954546,0.5,0.30029538241403536,0.0,1.0,0.5714285714285714,0.0,0.990430401872025,0.0,5.0,5.126436781609195,5.0,3.516752590636376,1.0,19.0,91,0.4505792166505386,0.30029538241403536,0.49692893809845795,0.49692893809845795,Yann Sommer,91,48.97045877179641,46.87571190415839,58.14804850372313,46.93444225865423,38.3991806298396,44.48813122736294
444.0,Frederik Rönnow,STAYED,33.0,,0.82647051,,0.0,0.8308007047058823,0.84746457,0.08309503632209105,0.61525136,0.94431835,0.03996969284507041,-0.018839896,0.9410150463904648,-2.725476,2.3587708,0.09754112494366197,0.09090909,0.09098925423242912,0.0,0.30769232,0.42918767690140847,0.41666666,0.28249912394457943,0.0,1.0,1.0140845070422535,1.0,1.1018550299573233,0.0,5.0,10.75,11.0,5.070627930112188,1.0,28.0,72,0.512055041356278,0.28249912394457943,3.949573158059233,3.949573158059233,Frederik Rönnow,72,48.86031264271659,51.82819809098708,51.99806136636135,46.93373984960573,52.042706971932915,44.00357787415924
507.0,Patrik Carlgren,PLAYS,34.0,FC Nantes,0.6607162449999999,0.7712210150000001,0.1105047700000001,0.8401299463829788,0.8400745,0.12046522241455164,0.45903394,0.99235183,0.10157403336458333,0.10487877500000001,0.957683368045096,-2.3715377,2.2615716,0.10020587286746989,0.07692308,0.10108791463516484,0.0,0.42857143,0.44050050457831325,0.45454547,0.20938626265116136,0.0,1.0,0.8910424479166666,1.0,0.9741500650777837,0.0,4.0,11.916666666666666,12.0,4.820278800992557,3.0,24.0,96,0.5390742952298239,0.20938626265116136,1.3309357252566816,1.3309357252566816,Patrik Carlgren,96,51.72755380344175,50.35120401538469,49.1732772855508,48.18225490258692,57.145837381518035,43.268379219809944
